Station,Uld Type,Carrier Code,Content Code,Sum Balance,Average Balance,Rolling SD Average,Slope,Total Uld In,Total Uld Out,Amount of Flight In,Amount of Flight Out,Sum Flight In-Out,Amount of stationary chunks,Test Statistics,p-value,#Lags Used,Number of Observations,Critical Value(1%),Critical Value(5%),Critical Value(10%),Stationarity At 1% Critical Size,Stationarity At 5% Critical Size,Stationarity At 10% Critical Size
HKG,PMC,CX,C,-4493.695652173913,-320.2204968944099,478.933131970219,16.161156235069278,10821.391304347826,15315.08695652174,3061.695652173913,4048.695652173913,7110.391304347826,0.0,-13.768728976237409,9.77300997442619e-26,0.0,314.0,-3.4513486122290717,-2.870789013306053,-2.5716978530569192,True,True,True
HND,AKE,CX,C,5.5,1.2166666666666666,1.2767205771423775,0.06666666666666665,3.0869565217391304,0.9565217391304348,2.391304347826087,0.782608695652174,3.1739130434782608,1.0,-5.807776529413284,4.4745173751377853e-07,0.0,43.0,-3.5925042342183704,-2.931549768951162,-2.60406594375338,True,True,True
HND,PMC,CX,C,148.2608695652174,10.819875776397517,9.048508883889296,-0.03640707118967994,228.30434782608697,80.04347826086956,75.78260869565217,36.08695652173913,111.8695652173913,1.0,-9.109001844854342,3.4400603000905684e-15,1.0,313.0,-3.4514162625887037,-2.8708187088091406,-2.5717136883095675,True,True,True
HYD,AKE,CX,C,,,,,0.17391304347826086,0.43478260869565216,0.17391304347826086,0.17391304347826086,0.34782608695652173,,-2.214145213031486,0.20115167509007292,0.0,6.0,-5.354256481481482,-3.6462381481481483,-2.901197777777778,False,False,False
HYD,PMC,CX,C,-57.52173913043478,-6.53780193236715,11.864895534764262,-0.04341238471673258,43.95652173913044,101.47826086956522,17.73913043478261,21.869565217391305,39.608695652173914,2.0,-14.943383093988736,1.312454070279483e-27,0.0,205.0,-3.4626576734812318,-2.8757444215841326,-2.5743412314098753,True,True,True
IAH,AKE,CX,C,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
IAH,PMC,CX,C,22.95,4.090714285714286,4.376232269122315,-0.3700000000000001,22.08695652173913,1.0434782608695652,11.521739130434783,0.13043478260869565,11.652173913043478,2.0,-8.756839083730524,2.7408196845292663e-14,13.0,103.0,-3.4954932834550623,-2.8900369024285117,-2.5819706975209726,True,True,True
ICN,AKE,CX,C,4.25,1.025,0.5450614771646304,-0.19999999999999993,3.5652173913043477,1.3043478260869565,2.9565217391304346,0.782608695652174,3.739130434782609,1.0,-4.820513442588278,4.967910488032323e-05,6.0,43.0,-3.5925042342183704,-2.931549768951162,-2.60406594375338,True,True,True
ICN,PMC,CX,C,-92.82608695652173,-6.785714285714285,16.153771927109027,-1.0024605828953659,414.5652173913044,507.39130434782606,152.95652173913044,151.08695652173913,304.04347826086956,2.0,-4.226136306956275,0.0005948990433990502,14.0,300.0,-3.4523371197407404,-2.871222860740741,-2.571929211111111,True,True,True
JFK,AKE,CX,C,16.571428571428573,1.7779040404040405,2.885992133942178,-0.1458410636982065,13.521739130434783,16.782608695652176,6.913043478260869,16.043478260869566,22.956521739130434,2.0,-9.995431874042639,1.9459267077294618e-17,0.0,107.0,-3.492995948509562,-2.888954648057252,-2.58139291903223,True,True,True
JFK,PMC,CX,C,-483.17391304347825,-34.28881987577639,81.17695570575165,-5.652532250358335,205.8695652173913,689.0434782608696,85.04347826086956,166.7391304347826,251.7826086956522,3.0,-9.92030599861597,3.00324524807941e-17,1.0,313.0,-3.4514162625887037,-2.8708187088091406,-2.5717136883095675,True,True,True
JNB,AKE,CX,C,,,,,1.7391304347826086,1.0,0.6956521739130435,0.6521739130434783,1.3478260869565217,,-0.0,0.958532086060056,9.0,10.0,-4.331573,-3.23295,-2.7487,False,False,False
JNB,PMC,CX,C,93.0,6.857381748686097,4.552812444867501,-0.1904921165790731,111.91304347826087,18.91304347826087,31.26086956521739,9.695652173913043,40.95652173913044,1.0,-12.908036278131705,4.11296221281439e-24,0.0,311.0,-3.451552879535732,-2.8708786756338407,-2.571745666091128,True,True,True
KHH,AKE,CX,C,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
KHH,PMC,CX,C,,,,,44.75,8.25,14.25,1.0,15.25,,-1.8241869510107946,0.36852136975559935,0.0,4.0,-7.355440625,-4.474365000000001,-3.1269325,False,False,False
KIX,AKE,CX,C,4.5,0.675,1.4683912505149301,-0.16428571428571428,5.782608695652174,0.5652173913043478,5.434782608695652,0.5652173913043478,6.0,0.0,-6.151289244499656,7.551395872185851e-08,0.0,41.0,-3.60098336718852,-2.9351348158036012,-2.6059629803688282,True,True,True
KIX,PMC,CX,C,306.9130434782609,22.27639751552795,30.20526438525586,-0.20057333970377458,767.0,460.0869565217391,188.43478260869566,151.6086956521739,340.04347826086956,1.0,-7.385809138473748,8.24305339904784e-11,4.0,310.0,-3.451621854687657,-2.870908950689806,-2.571761810613944,True,True,True
